zip.code,city,county,store.number,store.name,address,store.latitude,store.longitude
50010,Ames,Story,2501,Hy-vee,640 Lincolnway,42.022848,-93.619455
50010,Ames,Story,2609,Hy-Vee Drugstore,500 Main St,42.02503025,-93.61824725
50010,Ames,Story,4004,Wal-Mart 4256,534 S Duff Ave,42.017115,-93.610343
50010,Ames,Story,4129,Cyclone Liquors,626 Lincoln Way,42.022854,-93.618911
50010,Ames,Story,2500,Hy-Vee Food Store,3800 W Lincoln Way,,
50010,Ames,Story,3524,Sam's Club 6568,305 Airport Rd,42.001123,-93.61365
50010,Ames,Story,4015,Wal-Mart 0749,3015 Grand Ave,42.05234575,-93.62068225
50010,Ames,Story,3866,Target Store T-1170,320 S Duff,,
50010,Ames,Story,4675,Kum & Go,2801 E 13th St,42.034562,-93.575702
50010,Ames,Story,4103,Fareway Stores,3619 Stange Rd,42.0571966666667,-93.6450341666667
50010,Ames,Story,4987,Almost Always Open,419 Lincoln Way,42.022916,-93.616517
50010,Ames,Story,4340,Dahl's Foods,3121 Grand Ave,42.053354,-93.620697
50010,Ames,Story,4102,Fareway Stores,619 Burnett Ave,42.027426,-93.615428
50010,Ames,Story,4509,A J'S LIQUOR II,2515 Chamberlain,42.0214608,-93.6508634
50010,Ames,Story,4437,Kum & Go,4506 Lincoln Way,,
50010,Ames,Story,4438,Kum & Go,111 Duff Ave,42.023592,-93.610396
50010,Ames,Story,5187,Kwik Stop Liquor & Groceries Ames,125 6th St,42.026938,-93.6117722
50010,Ames,Story,4436,Kum & Go,203 Welch Ave,42.02127375,-93.65012525
50010,Ames,Story,4674,Kum & Go,2108 Issac Newton Dr,42.009586,-93.5858956666667
50010,Ames,Story,4709,Walgreens,2719 Grand Ave,42.0489755,-93.620635
50010,Ames,Story,4960,AJ's Liquor III,2401 A Chamberlain St,42.021455,-93.6488505
50010,Ames,Story,4656,Casey's General Store,17005 Hwy 69,,
50010,Ames,Story,5279,Casey's General Store,3020 Duff Ave,42.05119,-93.6185848
50010,Ames,Story,4674,Kum & Go,2108 Isaac Newton Dr,42.009586,-93.5858956666667
50010,Ames,Story,2501,Hy-Vee,640 Lincolnway,42.022848,-93.619455
50010,Ames,Story,5465,Kum & Go,4506 Lincoln Way,,
50010,Ames,Story,4509,AJ'S LIQUOR II,2515 Chamberlain,42.0214608,-93.6508634
50010,Ames,Story,5536,The Filling Station,2400 University Blvd,42.000718,-93.639358
50014,Ames,Story,3973,Mmdg Spirits,126a Welch Ave,,
50014,Ames,Story,4251,Aj's Liquor,4518 Mortenson Rd Ste 109,,
50014,Ames,Story,2634,Hy-Vee Wine and Spirits,3615 Lincoln Way,42.022911,-93.667927
50014,Ames,Story,4428,Kum & Go,4510 Mortensen Rd,42.01214,-93.6797952
50014,Ames,Story,2853,CVS Pharmacy,2420 Lincoln Way,42.022745,-93.649579
50014,Ames,Story,3973,MMDG SPIRITS,126a Welch Ave,,
50014,Ames,Story,4251,AJ's Liquor,4518 Mortenson Rd Ste 109,,
50015,Ames,Story,4094,Campustown Liquor,218 Welch Ave Ste 3,42.02076,-93.650122
50020,Anita,Cass,4267,Main Street Market Of Anita,735 Main St,41.4448642,-94.765408
50020,Anita,Cass,4880,Casey's General Store,912 Main St,,
50021,Ankeny,Polk,2502,Hy-Vee Wine and Spirits,410 N Ankeny Blvd,,
50021,Ankeny,Polk,3625,Wal-Mart 0892,1002 Se National Dr,41.704864,-93.5823058
50021,Ankeny,Polk,4404,KUM & GO,1825 N Ankeny Blvd,,
50021,Ankeny,Polk,4810,Kum & Go,3603 Ne Otterview Circle,,
